Date;Close
17/05/2021;34,770,582,031
24/05/2021;35,678,128,906
31/05/2021;35,862,378,906
07/06/2021;39,097,859,375
14/06/2021;35,698,296,875
21/06/2021;34,649,644,531
28/06/2021;35,287,781,250
05/07/2021;34,240,187,500
12/07/2021;31,796,810,547
19/07/2021;35,350,187,500
26/07/2021;39,974,894,531
02/08/2021;43,798,117,188
09/08/2021;47,047,003,906
16/08/2021;49,321,652,344
23/08/2021;48,829,832,031
30/08/2021;51,753,410,156
06/09/2021;46,063,269,531
13/09/2021;47,260,218,750
20/09/2021;43,208,539,063
27/09/2021;48,199,953,125
04/10/2021;54,771,578,125
11/10/2021;61,553,617,188
18/10/2021;60,930,835,938
25/10/2021;61,318,957,031
01/11/2021;63,326,988,281
08/11/2021;65,466,839,844
15/11/2021;58,730,476,563
22/11/2021;57,248,457,031
29/11/2021;49,368,847,656
06/12/2021;50,098,335,938
13/12/2021;46,707,015,625
20/12/2021;50,809,515,625
27/12/2021;47,345,218,750
03/01/2022;41,911,601,563
10/01/2022;43,113,878,906
17/01/2022;36,276,804,688
24/01/2022;37,917,601,563
31/01/2022;42,412,433,594
07/02/2022;42,197,515,625
14/02/2022;38,431,378,906
21/02/2022;37,709,785,156
28/02/2022;38,419,984,375
07/03/2022;37,849,664,063
14/03/2022;41,247,824,219
21/03/2022;46,820,492,188
28/03/2022;46,453,566,406
04/04/2022;42,207,671,875
11/04/2022;39,716,953,125
18/04/2022;39,469,292,969
25/04/2022;38,469,093,750
02/05/2022;34,059,265,625
09/05/2022;31,305,113,281
16/05/2022;28,720,271,484
19/05/2022;30,099,519,531
