Date;Close
23/05/2002;1.196429
24/05/2002;1.21
28/05/2002;1.157143
29/05/2002;1.103571
30/05/2002;1.071429
31/05/2002;1.076429
03/06/2002;1.128571
04/06/2002;1.117857
05/06/2002;1.147143
06/06/2002;1.182143
07/06/2002;1.118571
10/06/2002;1.156429
11/06/2002;1.153571
12/06/2002;1.092857
13/06/2002;1.082857
14/06/2002;0.986429
17/06/2002;0.922143
18/06/2002;0.910714
19/06/2002;0.951429
20/06/2002;0.957143
21/06/2002;0.979286
24/06/2002;0.978571
25/06/2002;0.964286
26/06/2002;0.988571
27/06/2002;0.943571
28/06/2002;0.999286
01/07/2002;1.027857
02/07/2002;1.172857
03/07/2002;1.214286
05/07/2002;1.276429
08/07/2002;1.175714
09/07/2002;1.160714
10/07/2002;1.163571
11/07/2002;1.269286
12/07/2002;1.207857
15/07/2002;1.142857
16/07/2002;1.126429
17/07/2002;1.089286
18/07/2002;1.149286
19/07/2002;1.16
22/07/2002;1.170714
23/07/2002;1.146429
24/07/2002;1.114286
25/07/2002;1.036429
26/07/2002;0.871429
29/07/2002;0.876429
30/07/2002;0.914286
31/07/2002;0.953571
01/08/2002;0.891429
02/08/2002;0.777857
05/08/2002;0.775
06/08/2002;0.760714
07/08/2002;0.793571
08/08/2002;0.796429
09/08/2002;0.787143
12/08/2002;0.757143
13/08/2002;0.772857
14/08/2002;0.833571
15/08/2002;0.882857
16/08/2002;0.912857
19/08/2002;0.982143
20/08/2002;0.946429
21/08/2002;0.968571
22/08/2002;0.983571
23/08/2002;0.993571
26/08/2002;0.967857
27/08/2002;0.873571
28/08/2002;0.864286
29/08/2002;0.903571
30/08/2002;0.936429
03/09/2002;0.925
04/09/2002;0.928571
05/09/2002;0.917857
06/09/2002;0.914286
09/09/2002;0.901429
10/09/2002;0.945
11/09/2002;0.961429
12/09/2002;0.925
13/09/2002;0.878571
16/09/2002;0.857143
17/09/2002;0.83
18/09/2002;0.787857
19/09/2002;0.724286
20/09/2002;0.707857
23/09/2002;0.711429
24/09/2002;0.717857
25/09/2002;0.732143
26/09/2002;0.782857
27/09/2002;0.72
30/09/2002;0.692857
01/10/2002;0.678571
02/10/2002;0.578571
03/10/2002;0.517857
04/10/2002;0.468571
07/10/2002;0.412143
08/10/2002;0.405
09/10/2002;0.372857
10/10/2002;0.506429
